suburb,address,listing_type,property_type,postcode,buy_price,rent_price,bedrooms,bathrooms,carspaces,landsize,year_built,latitude,longitude,features
Hawthorn East,1/36 Pleasant Rd,buy,townhouse,3123,1738000,,4,3,2,324,2002,-37.8348,145.0503,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Gardenvale,66A Gardenvale Rd,buy,house,3185,1250000,,3,2,2,236,2004,-37.8982,145.0121,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Camberwell,16A Waterloo St,buy,house,3124,3300000,,3,3,2,417,2016,-37.831,145.0621,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Wyndham Vale,5 Dakara Ct,buy,house,3024,480000,,3,1,2,743,1990,-37.89757,144.63041,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Ashwood,1/2 Condah Ct,buy,house,3147,855000,,3,2,1,320,1958,-37.87,145.1103,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Brunswick,36 Charles St,buy,house,3056,1875000,,4,2,2,657,1958,-37.7725,144.964,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Oak Park,242 Waterloo Rd,buy,house,3046,725000,,3,1,1,327,1960,-37.7151,144.92103,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Williamstown,110 Bayview St,buy,house,3016,1200000,,3,2,2,315,1990,-37.8595,144.8868,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Hampton,8 Bronte Ct,buy,house,3188,1560000,,3,1,3,593,1955,-37.9399,145.0204,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Balwyn North,64 Greythorn Rd,buy,house,3104,2000000,,5,2,2,1002,1950,-37.796,145.0984,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Melton West,30 Borrowdale Rd,buy,house,3337,438000,,3,2,2,575,2016,-37.66745,144.55857,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Bulleen,28 Flinders St,buy,house,3105,903000,,2,1,1,591,1965,-37.7679,145.0978,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Keilor Downs,11 Turfan Cl,buy,house,3038,700000,,4,2,2,726,1980,-37.72649000000001,144.80992,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Narre Warren,2 Ireland Av,buy,house,3805,605000,,3,2,2,688,1990,-38.037,145.30862,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Point Cook,4 Hewett Dr,buy,house,3030,520000,,3,2,2,312,2014,-37.89273,144.72558999999995,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Kew,2 Fernhurst Gr,buy,house,3101,2450000,,4,2,2,1012,1900,-37.8067,145.0277,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Viewbank,3 The Nook,buy,house,3084,1050000,,4,2,2,660,1977,-37.7375,145.0917,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Rowville,11 Jindalee Cl,buy,house,3178,870000,,5,2,2,733,1986,-37.91894,145.24305,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
St Kilda,8/98 Barkly St,buy,house,3182,1120000,,3,2,2,1039,2006,-37.8638,144.982,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Ascot Vale,7 Francis St,buy,house,3032,1380000,,3,2,2,277,1910,-37.7777,144.9221,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Preston,24 Dermot St,buy,apartment,3072,505000,,1,1,1,102,2000,-37.74679,145.01394,"['Secure parking', 'Balcony', 'Lift', 'Shared gym', 'NBN ready', 'Secure access']"
Moonee Ponds,8 Pattison St,buy,house,3039,1162000,,3,1,2,619,1965,-37.76996,144.93466,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Ivanhoe,950 Heidelberg Rd,buy,house,3079,1155000,,3,1,2,537,1945,-37.7773,145.0379,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Glen Iris,5/31 Yeovil Rd,buy,apartment,3146,851000,,2,1,1,100,1960,-37.85258,145.08588999999995,"['Secure parking', 'Balcony', 'Lift', 'Shared gym', 'NBN ready', 'Secure access']"
Ascot Vale,3 Dalgety Dr,buy,house,3032,1041000,,3,2,2,209,2009,-37.7774,144.904,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Greensborough,142 Elder St,buy,house,3088,815000,,3,2,2,609,1980,-37.71636,145.09792,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Kew,13 Annadale St,buy,house,3101,1635000,,3,1,2,396,1990,-37.8102,145.0451,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Ascot Vale,44 The Parade,buy,house,3032,1850000,,4,3,1,478,1900,-37.7729,144.9179,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Ashburton,15 Comas Gr,buy,house,3147,2752000,,5,4,2,1075,2010,-37.8714,145.07299999999995,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Brighton East,25 Camperdown St,buy,house,3187,2550000,,5,3,2,551,2016,-37.9176,145.009,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Werribee,4 Albany Ct,buy,house,3030,630000,,4,2,2,720,2001,-37.87215,144.65608,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Northcote,51 Beavers Rd,buy,house,3070,910000,,2,1,1,150,1995,-37.7665,144.9955,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Ivanhoe,128 Green St,buy,house,3079,1475000,,3,1,2,424,1950,-37.76353,145.02941,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Surrey Hills,14 Verdun St,buy,house,3127,1650000,,5,5,2,693,1930,-37.8339,145.0937,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Malvern East,2/14 Durward Rd,buy,townhouse,3145,1120000,,3,2,2,181,1990,-37.8823,145.0839,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Hawthorn,5 Wattle Gr,buy,house,3122,1855000,,3,1,1,304,1900,-37.8253,145.0287,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Camberwell,4 Range St,buy,house,3124,2000000,,3,1,2,821,1925,-37.8459,145.0644,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Cheltenham,53 Primrose Av,buy,townhouse,3192,795000,,3,2,2,138,2013,-37.95656,145.06926,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Niddrie,5 Hamilton St,buy,house,3042,991000,,3,1,1,716,1950,-37.7368,144.8856,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Malvern East,414 Waverley Rd,buy,house,3145,1220000,,3,1,2,446,1980,-37.8784,145.0654,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Brunswick East,63 Harrison St,buy,townhouse,3057,937000,,3,2,1,110,2000,-37.76049,144.98065,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Bulleen,4 Albany Pl,buy,house,3105,1303000,,4,2,2,670,1980,-37.7695,145.0869,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Altona,1/20 Mulga St,buy,townhouse,3018,765000,,3,2,2,200,2007,-37.86837,144.81502,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Springvale,4 Audrey St,buy,house,3171,881000,,3,1,4,720,1955,-37.94434,145.16289,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Ivanhoe,4/24 St Elmo Rd,buy,townhouse,3079,779000,,2,1,2,152,1970,-37.7635,145.0464,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Pascoe Vale,12 Shanley St,buy,house,3044,740000,,2,1,1,487,1940,-37.71949,144.94283,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Preston,14 Arthur St,buy,house,3072,1065000,,2,1,3,507,1910,-37.7437,144.9995,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Malvern East,24 Prior Rd,buy,house,3145,1150000,,2,1,2,604,1960,-37.8835,145.0886,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Footscray,2 Buckingham St,buy,house,3011,747000,,3,1,1,246,1940,-37.8012,144.8924,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Highett,1/12 Jillian Av,buy,townhouse,3190,1200000,,3,1,2,269,2000,-37.94775,145.02379,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Pascoe Vale,8A Tangyes St,buy,house,3044,1210000,,3,2,1,330,2012,-37.72623,144.94521,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Elsternwick,9 Ripon Gr,buy,house,3185,1650000,,4,3,2,386,1913,-37.883,144.999,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Kensington,4/26 Barnett St,buy,townhouse,3031,917500,,3,1,1,98,1997,-37.791,144.9323,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Alphington,5/6 Yarralea St,buy,house,3078,1110000,,3,2,2,208,2013,-37.7854,145.0325,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Moonee Ponds,4/342 Ascot Vale Rd,buy,apartment,3039,286000,,1,1,1,114,1970,-37.76911,144.92472,"['Secure parking', 'Balcony', 'Lift', 'Shared gym', 'NBN ready', 'Secure access']"
Ivanhoe,5/139 Bond St,buy,townhouse,3079,785000,,2,2,1,124,2010,-37.7618,145.0287,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Doveton,33 Kanooka Gr,buy,house,3177,472500,,2,1,2,590,1960,-37.99715,145.23526,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Armadale,504 Orrong Rd,buy,house,3143,3200000,,4,4,2,847,1935,-37.85938,145.01086999999995,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Strathmore,77 Hillsyde Pde,buy,house,3041,790000,,2,2,1,213,1990,-37.73519,144.92373999999995,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Murrumbeena,3 Short St,buy,house,3163,1260000,,3,1,1,345,1940,-37.8904,145.0729,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Mulgrave,63 Haverbrack Dr,buy,house,3170,1105000,,4,3,2,650,1985,-37.92979,145.2036,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Balwyn North,67 Winfield Rd,buy,house,3104,1850000,,4,4,3,929,1960,-37.79497,145.10538,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Bentleigh East,7 Celia St,buy,house,3165,986000,,3,1,3,337,1950,-37.9331,145.0586,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Toorak,4 Leighton Ct,buy,house,3142,2400000,,3,2,1,224,1950,-37.8445,145.0124,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Reservoir,28 Manoel Av,buy,house,3073,852000,,4,3,2,527,1980,-37.69968,145.03426000000005,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Delahey,11 Barley Ct,buy,house,3037,505000,,4,2,2,344,1995,-37.719,144.76699,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Bentleigh,112 Tucker Rd,buy,house,3204,1815000,,4,2,4,902,1950,-37.924,145.0504,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Templestowe Lower,78 Olympus Dr,buy,house,3107,1182500,,4,2,2,650,1975,-37.7764,145.1216,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Frankston South,24 Sycamore Rd,buy,house,3199,830000,,4,1,4,600,1985,-38.16475,145.1345,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Glen Iris,10 Morell St,buy,house,3146,1800000,,3,1,3,732,1950,-37.8562,145.0864,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Hawthorn East,24 Wiseman St,buy,house,3123,1385000,,2,1,2,326,1940,-37.8373,145.0455,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Northcote,44 Bent St,buy,house,3070,1232000,,3,1,1,352,1900,-37.76708,144.99624,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Preston,131b Albert St,buy,house,3072,540000,,2,1,2,250,2005,-37.7373,145.0237,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Heathmont,5 Marden Pl,buy,house,3135,1165000,,4,2,2,442,2016,-37.82507,145.24058,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Reservoir,79 Darebin Bvd,buy,house,3073,622500,,3,1,1,456,1960,-37.7038,145.0281,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Bentleigh,5 Luckins Rd,buy,house,3204,1165000,,3,1,2,694,1950,-37.9315,145.0445,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Reservoir,23 Acheron Av,buy,house,3073,925000,,3,1,2,676,1940,-37.72167,145.01706,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Moonee Ponds,5 Bent St,buy,house,3039,1445000,,4,3,2,384,1920,-37.7617,144.9272,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Murrumbeena,6 Gerald St,buy,house,3163,1820000,,4,2,1,632,1915,-37.89465,145.06984,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Sunbury,20 Miller St,buy,house,3429,535000,,4,2,2,808,1970,-37.58089,144.72183,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Brunswick,2 Chambers St,buy,house,3056,1691500,,3,2,3,470,1920,-37.7788,144.9688,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Newport,14 Chalmers La,buy,house,3015,900000,,3,2,2,194,2010,-37.8395,144.8787,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Coburg,29 Molesworth St,buy,house,3058,850000,,2,1,1,371,1930,-37.735,144.9589,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Moorabbin,19 Hamer St,buy,house,3189,1000000,,3,2,2,573,1970,-37.9428,145.04399999999995,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Brunswick,73 Davies St,buy,house,3056,1056000,,2,1,1,315,1910,-37.757,144.9697,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Ivanhoe,1/12 Thoresby Gr,buy,house,3079,1300000,,3,2,2,334,2005,-37.76538,145.04963999999995,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Doncaster,2 Louise Ct,buy,house,3108,1030000,,3,1,1,827,1960,-37.7848,145.1029,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Sunbury,1/6 Anthony St,buy,apartment,3429,360000,,2,1,1,143,1999,-37.57063,144.70693,"['Secure parking', 'Balcony', 'Lift', 'Shared gym', 'NBN ready', 'Secure access']"
Jacana,17 Emu Pde,buy,house,3047,626000,,3,1,2,622,1960,-37.68908,144.9116,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Ascot Vale,25 Geddes St,buy,house,3032,950000,,4,2,1,298,1920,-37.7778,144.9131,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Pascoe Vale,54 Railway Pde,buy,house,3044,900000,,3,1,1,570,1950,-37.7273,144.9274,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Caulfield South,26 Flowers St,buy,house,3162,1577500,,3,2,2,357,1935,-37.8896,145.0307,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Reservoir,1/40 Godley St,buy,house,3073,260000,,1,1,1,141,2000,-37.7025,144.9887,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Heidelberg West,314 Liberty Pde,buy,house,3081,580000,,3,1,2,429,1950,-37.73704,145.03697,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Ringwood East,4 Short St,buy,house,3135,746000,,3,1,1,400,1950,-37.80954000000001,145.25538,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Vermont,88 Boronia Rd,buy,house,3133,988000,,3,1,1,653,1970,-37.84034000000001,145.2022,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Glen Iris,22 Renwick St,buy,house,3146,2325000,,4,3,2,638,1930,-37.8523,145.0726,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Maidstone,2/13 Radio St,buy,townhouse,3012,600000,,2,2,1,145,2012,-37.7801,144.869,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Reservoir,25 Fyfe St,buy,townhouse,3073,575000,,2,2,1,151,2015,-37.70426,145.01203999999996,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Hillside,110 Allenby Rd,buy,house,3037,628000,,4,2,1,480,2003,-37.70228,144.74316000000005,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Fairfield,225 Gillies St,buy,house,3078,1055000,,3,1,2,382,1950,-37.7696,145.0188,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Aberfeldie,126 The Boulevard,buy,house,3040,3900000,,4,4,4,670,2010,-37.7637,144.8931,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Brunswick East,55 King St,buy,house,3057,1550000,,4,2,2,470,1940,-37.7735,144.9833,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Essendon,1B Ogilvie St,buy,house,3040,886000,,3,2,1,173,2007,-37.75382000000001,144.89167,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
St Kilda,27 Bath St,buy,house,3182,875000,,2,1,1,123,1900,-37.8641,144.9866,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Northcote,51 Kellett St,buy,house,3070,1590000,,4,1,1,484,1925,-37.7672,145.0095,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Armadale,12 Willis St,buy,house,3143,2050000,,3,2,1,205,1910,-37.8574,145.0281,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Sandringham,1 Victory St,buy,house,3191,1725000,,3,1,2,493,1915,-37.94901,145.01167,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Surrey Hills,14 Scheele St,buy,house,3127,1560000,,3,2,1,335,2013,-37.8165,145.0981,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
St Albans,33 Moonstone Cct,buy,house,3021,537000,,4,2,2,447,1996,-37.75405,144.82013999999995,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Fairfield,254 Rathmines St,buy,house,3078,2000000,,4,3,2,575,2015,-37.7671,145.0176,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Taylors Lakes,11 Pacific Pl,buy,house,3038,695000,,3,2,2,665,1990,-37.69408,144.77861,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Wantirna,6 Deauville Ct,buy,house,3152,1000000,,4,2,1,722,1980,-37.85848,145.23982,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Bentleigh East,4 Mawby Rd,buy,house,3165,1433500,,4,1,1,725,1950,-37.9289,145.0502,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Moonee Ponds,54b Salisbury St,buy,townhouse,3039,842500,,3,2,1,216,1995,-37.7607,144.9314,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Donvale,6/22 Powers St,buy,townhouse,3111,920000,,3,2,2,239,2007,-37.77323,145.18029,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Bentleigh,48 Vickery St,buy,house,3204,1650000,,4,2,2,570,1930,-37.9139,145.0395,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Carnegie,76 Oakleigh Rd,buy,house,3163,1125000,,3,1,1,604,1925,-37.8993,145.0528,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Bentleigh,4a Rosina St,buy,townhouse,3204,1247000,,4,2,3,354,2008,-37.9326,145.0441,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Moorabbin,8 Barilla Rd,buy,house,3189,1035000,,4,1,2,688,1950,-37.9411,145.043,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Spotswood,27 The Avenue,buy,house,3015,1016000,,3,1,1,320,1940,-37.8277,144.8841,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
