suburb,address,property_type,method,seller,distance,postcode,sale_date,buy_price,bedrooms,bathrooms,carspaces,landsize,year_built,latitude,longitude
Abbotsford,13/11 Nicholson St,t,S,Beller,2.5,3067,2017-03-18,900000,3,2,2,,2010,-37.8093,144.9959
Abbotsford,138/56 Nicholson St,u,S,Jellis,2.5,3067,2017-03-18,1090000,3,2,2,4290,,-37.8078,144.9965
Abbotsford,6/219 Nicholson St,u,S,Collins,2.5,3067,2016-06-18,500000,2,1,1,,1970,-37.8015,144.9972
Abbotsford,52a William St,h,PI,Biggin,2.5,3067,2016-06-18,1100000,2,2,1,124,2013,-37.8079,144.9977
Abbotsford,49 Park St,h,S,Marshall,2.5,3067,2016-11-19,1315000,2,1,0,147,1900,-37.808,144.994
Abbotsford,5/20 Abbotsford St,u,SP,Greg,2.5,3067,2016-08-22,426000,1,1,1,,,-37.8016,144.9988
Abbotsford,48 Abbotsford St,h,PI,Nelson,2.5,3067,2016-08-22,1447500,3,3,1,166,2012,-37.8017,145.0001
Abbotsford,116/56 Nicholson St,u,S,Jellis,2.5,3067,2016-08-22,457000,1,1,1,,,-37.8078,144.9965
Abbotsford,159 Park St,h,S,Nelson,2.5,3067,2016-08-22,1135000,2,2,2,98,1920,-37.8005,144.9952
Abbotsford,31 Turner St,h,S,Collins,2.5,3067,2016-09-24,1542000,4,3,1,,,-37.7994,144.9965
Abbotsford,166 Gipps St,h,S,Biggin,2.5,3067,2017-02-25,1290000,3,2,2,147,,-37.805,144.9943
Abbotsford,60 Stafford St,h,S,Biggin,2.5,3067,2017-02-25,1290000,3,1,1,168,1950,-37.8007,144.9958
Abbotsford,11/205 Gipps St,u,S,Nelson,2.5,3067,2016-07-26,470000,1,1,1,,2013,-37.8055,144.9961
Abbotsford,47 Studley St,h,S,Jellis,2.5,3067,2016-11-27,1180000,2,1,0,162,1900,-37.8016,144.9956
Abbotsford,45 Yarra St,h,SP,Jellis,2.5,3067,2016-11-27,1195000,3,2,1,120,1998,-37.8022,144.9954
Abbotsford,200 Nicholson St,h,S,Nelson,2.5,3067,2016-05-28,1012500,2,1,0,182,1900,-37.8021,144.9976
Abbotsford,27 Charles St,h,S,Biggin,2.5,3067,2016-07-30,1030000,2,1,1,172,1930,-37.8086,144.9946
Airport West,154 Halsey Rd,t,PI,Nelson,13.5,3042,2016-09-03,840000,3,2,1,303,2016,-37.718,144.878
Airport West,50 Bedford St,h,VB,Nelson,13.5,3042,2016-12-03,730000,3,2,1,,1965,-37.7203,144.8755
Airport West,50 Bedford St,h,SP,Nelson,13.5,3042,2017-03-04,770000,3,2,1,,1965,-37.7203,144.8755
Airport West,23 Hart St,h,S,Nelson,13.5,3042,2017-03-04,603000,2,1,1,272,1950,-37.7294,144.888
Airport West,1/80 Hawker St,t,S,Brad,13.5,3042,2017-03-04,700000,3,2,2,239,2009,-37.7218,144.8837
Airport West,1/37 Hillside Gr,h,S,Maddison,13.5,3042,2017-03-04,600000,3,1,1,290,1980,-37.7273,144.8744
Airport West,2/49 McIntosh St,u,VB,Barry,13.5,3042,2017-03-04,500000,2,1,1,168,2011,-37.7215,144.8864
Airport West,54 Marshall Rd,h,S,Barry,13.5,3042,2016-08-06,720000,3,1,1,620,,-37.7173,144.8872
Airport West,36 Roberts Rd,h,S,Considine,13.5,3042,2016-08-06,785000,4,1,2,597,,-37.7259,144.8792
Airport West,11 Harrington Rd,h,SP,Barry,13.5,3042,2016-05-07,725000,6,3,2,976,1980,-37.7239,144.8735
Airport West,2/252 Parer Rd,t,S,Barry,13.5,3042,2016-05-07,450000,2,1,1,110,2015,-37.7216,144.871
Airport West,3/19 Hart St,u,S,Barry,13.5,3042,2016-11-07,515000,2,1,1,141,2013,-37.7298,144.8883
Airport West,2/62 Clydesdale Rd,u,S,Nelson,13.5,3042,2016-09-10,530000,2,1,1,120,2012,-37.7234,144.8792
Airport West,3 Deidre Ct,h,PI,Rendina,13.5,3042,2016-09-10,895000,3,1,6,1063,1975,-37.7249,144.8728
Airport West,13 Etzel St,h,S,Nelson,13.5,3042,2016-12-10,805000,3,1,1,,1950,-37.7217,144.8783
Airport West,1/43 Cameron St,u,S,Nelson,13.5,3042,2017-02-11,752000,3,1,1,265,1993,-37.7302,144.8855
Airport West,145a Victory Rd,u,S,Barry,13.5,3042,2016-08-13,440000,2,1,1,192,,-37.7177,144.8787
Airport West,241 Parer Rd,h,PI,Propertyau,13.5,3042,2016-05-14,755000,5,2,2,596,,-37.7248,144.8699
Airport West,2/40 Earl St,t,PI,Brad,13.5,3042,2016-10-15,700000,3,2,2,165,2009,-37.727,144.887
Airport West,180 Parer Rd,h,S,Barry,13.5,3042,2016-04-16,830000,3,1,2,971,1960,-37.7186,144.876
Airport West,4/54 Hawker St,u,S,Barry,13.5,3042,2016-07-16,462500,2,1,1,164,2003,-37.7218,144.8863
Airport West,43 Hillside Gr,h,SP,Barry,13.5,3042,2016-07-16,670000,3,2,2,657,,-37.7269,144.8742
Airport West,174 Parer Rd,h,S,Barry,13.5,3042,2016-07-16,675000,2,1,1,612,1975,-37.7187,144.8765
Airport West,138 Victory Rd,h,S,Nelson,13.5,3042,2016-07-16,1042000,3,2,5,612,1950,-37.7173,144.8796
Airport West,75 King St,h,S,McDonald,13.5,3042,2016-09-17,910000,3,1,1,775,,-37.7231,144.8835
Airport West,6 Kittyhawk St,h,S,Brad,13.5,3042,2016-09-17,773000,4,3,4,531,1980,-37.7263,144.8679
Airport West,478 Fullarton Rd,h,PI,Barry,13.5,3042,2017-03-18,810000,3,3,2,555,1980,-37.7285,144.8694
Airport West,144 Marshall Rd,h,S,Rendina,13.5,3042,2017-03-18,715000,3,2,2,422,1995,-37.7164,144.8792
Airport West,106 Parer Rd,h,S,Nelson,13.5,3042,2017-03-18,790000,3,1,3,614,,-37.7194,144.8827
Airport West,3/7 South Rd,t,SP,Nelson,13.5,3042,2016-06-18,540000,3,2,1,161,2010,-37.7231,144.8802
Airport West,37 North St,t,SP,Barry,13.5,3042,2016-11-19,825000,3,2,1,293,1960,-37.72,144.8776
Airport West,10 Hilbert Rd,h,S,Barry,13.5,3042,2016-05-22,685000,3,1,1,579,1975,-37.7226,144.8733
Airport West,110 Halsey Rd,h,S,Barry,13.5,3042,2016-08-22,805000,3,1,1,623,,-37.7184,144.882
Airport West,2/13 North St,u,S,Nelson,13.5,3042,2016-08-22,510000,2,1,1,141,,-37.7202,144.8797
Airport West,105a Victory Rd,h,S,Nelson,13.5,3042,2016-08-22,612000,3,2,1,212,,-37.7181,144.8824
Airport West,117 Marshall Rd,h,S,Brad,13.5,3042,2016-04-23,662000,3,1,2,612,,-37.7169,144.8815
Airport West,34 Moorna Dr,h,S,Nelson,13.5,3042,2016-09-24,978000,4,3,2,532,,-37.7263,144.869
Airport West,33 North St,h,PI,Nelson,13.5,3042,2017-02-25,720000,3,1,1,585,,-37.72,144.878
Airport West,49 Roberts Rd,h,S,Prof.,13.5,3042,2016-11-27,765000,4,1,2,509,,-37.7261,144.8785
Airport West,85 Roberts Rd,h,S,Harcourts,13.5,3042,2016-11-27,900000,4,2,3,628,1975,-37.7256,144.8739
Albert Park,105 Kerferd Rd,h,S,hockingstuart,3.3,3206,2016-09-03,1275000,2,1,0,120,1900,-37.8459,144.9555
Albert Park,85 Richardson St,h,S,Thomson,3.3,3206,2016-09-03,1455000,2,1,0,159,,-37.845,144.9538
Albert Park,112 Beaconsfield Pde,h,PI,Buxton,3.3,3206,2017-03-04,2850000,3,2,0,211,1890,-37.8481,144.9499
Albert Park,94 Graham St,h,S,Greg,3.3,3206,2017-03-04,1850000,3,2,0,128,1890,-37.8452,144.9488
Albert Park,396 Montague St,h,S,RT,3.3,3206,2017-03-04,1436000,2,1,0,130,1900,-37.8431,144.9565
Albert Park,75 Graham St,h,S,Marshall,3.3,3206,2016-08-06,1110000,2,1,0,147,1900,-37.8444,144.9484
Albert Park,54 Brooke St,h,S,Sotheby's,3.3,3206,2016-05-07,1550000,2,1,1,167,,-37.8405,144.9521
Albert Park,104 Richardson St,h,S,Marshall,3.3,3206,2016-05-07,2300000,4,2,1,153,1880,-37.8447,144.9523
Albert Park,4a Mills St,t,VB,Marshall,3.3,3206,2016-11-07,1550000,3,2,2,718,,-37.8443,144.9598
Albert Park,1 Moubray St,h,VB,Greg,3.3,3206,2016-11-07,1800000,3,2,1,132,1996,-37.8415,144.952
Albert Park,29 Faussett St,h,S,Greg,3.3,3206,2016-09-10,2120000,2,1,1,199,1900,-37.8422,144.9554
Albert Park,3 Herbert St,h,VB,Cayzer,3.3,3206,2016-09-10,1800000,3,1,1,253,,-37.8443,144.9579
Albert Park,24 Kerferd Pl,h,S,Marshall,3.3,3206,2016-09-10,1800000,3,2,1,90,1900,-37.8421,144.9571
Albert Park,44 Draper St,h,PI,Greg,3.3,3206,2016-12-10,1810000,2,1,0,240,,-37.8379,144.9539
Albert Park,2 Dundas Pl,h,S,Cayzer,3.3,3206,2016-12-10,2615000,3,2,1,177,1880,-37.8415,144.9585
Albert Park,23 Finlay St,h,S,Greg,3.3,3206,2016-12-10,2100000,5,2,1,237,,-37.8436,144.9557
Albert Park,31 Richardson St,h,S,hockingstuart,3.3,3206,2016-12-10,1300000,3,1,0,129,,-37.8422,144.94899999999996
Albert Park,4a Gatehouse La,h,S,Greg,3.3,3206,2016-06-12,1370000,3,2,2,,2000,-37.8451,144.9511
Albert Park,60 Brooke St,h,S,Cayzer,3.3,3206,2016-11-12,1000000,2,1,0,288,,-37.8407,144.9523
Albert Park,70 Barrett St,h,S,Greg,3.3,3206,2016-10-15,2575000,3,2,1,228,,-37.8445,144.9501
Albert Park,65 Graham St,h,S,Greg,3.3,3206,2016-10-15,1322500,2,1,0,149,1890,-37.8443,144.9481
Albert Park,364 Montague St,h,S,Greg,3.3,3206,2016-10-15,1562500,2,1,0,141,1890,-37.8424,144.9562
Albert Park,86 Mills St,h,VB,RT,3.3,3206,2016-04-16,2000000,3,2,1,211,1900,-37.847,144.9575
Albert Park,129 Kerferd Rd,h,S,Greg,3.3,3206,2017-03-18,1900000,3,1,0,209,1900,-37.8468,144.9546
Albert Park,97 Page St,h,S,Greg,3.3,3206,2017-03-18,3010000,3,2,0,147,1890,-37.8473,144.9551
Albert Park,55 Withers St,h,VB,Cayzer,3.3,3206,2016-06-18,2800000,4,3,1,327,1910,-37.8467,144.9475
Albert Park,10/140 Kerferd Rd,u,S,Greg,3.3,3206,2016-05-22,647000,2,1,1,,,-37.846,144.9542
Albert Park,55 Merton St,h,SP,Marshall,3.3,3206,2016-04-23,2100000,3,1,1,120,1900,-37.8427,144.9546
Albert Park,49 Page St,h,PI,Marshall,3.3,3206,2016-09-24,2000000,3,1,1,238,1890,-37.8461,144.9528
Albert Park,13/52 Moubray St,u,S,Marshall,3.3,3206,2017-02-25,442500,1,1,0,,1970,-37.8421,144.9517
Albert Park,115 Page St,h,S,Marshall,3.3,3206,2017-02-25,4735000,4,2,1,330,1910,-37.8477,144.9558
Albert Park,32 Page St,h,S,Greg,3.3,3206,2017-02-25,1340000,2,1,0,136,,-37.846,144.9517
Albert Park,34 Richardson St,h,S,hockingstuart,3.3,3206,2017-02-25,1801000,3,1,1,202,,-37.8429,144.9493
Albert Park,2b Dundas Pl,h,S,Chisholm,3.3,3206,2016-07-26,1532000,3,3,1,,,-37.8415,144.9585
Albert Park,22 Greig St,h,S,Greg,3.3,3206,2016-07-26,3755000,3,2,2,325,,-37.8413,144.95
Albert Park,27 Barrett St,h,S,Greg,3.3,3206,2016-06-27,2140000,4,2,1,183,1880,-37.8434,144.9495
Albert Park,44 Greig St,h,S,Marshall,3.3,3206,2016-11-27,1750000,2,1,1,162,,-37.8416,144.9488
Albert Park,6 Brooke St,h,S,Greg,3.3,3206,2016-05-28,980000,2,1,0,79,1890,-37.8387,144.9519
Albert Park,227a Danks St,h,S,hockingstuart,3.3,3206,2016-08-28,2030000,3,2,0,152,,-37.8488,144.9551
Albert Park,17 Reed St,h,PI,Marshall,3.3,3206,2016-08-28,1740000,3,2,2,147,1890,-37.8448,144.9453
Albert Park,74 Bridport St,h,VB,Buxton,3.3,3206,2016-07-30,2800000,3,3,1,,,-37.8399,144.9577
Albert Park,9 Durham St,h,S,Marshall,3.3,3206,2016-07-30,985000,1,1,0,81,1900,-37.8411,144.9497
Alphington,6 Smith St,h,S,Brace,6.4,3078,2016-09-03,2000000,4,2,4,853,1930,-37.7707,145.0318
Alphington,5/6 Yarralea St,h,S,Jellis,6.4,3078,2016-09-03,1110000,3,2,2,208,2013,-37.7854,145.0325
Alphington,136A Fulham Rd,h,S,Jellis,6.4,3078,2017-03-04,1492000,3,2,2,411,,-37.7713,145.0279
Alphington,44 Shiers St,h,S,Collins,6.4,3078,2016-10-08,1717500,4,2,1,599,1925,-37.7717,145.031
Alphington,83 Fulham Rd,h,S,Nelson,6.4,3078,2016-06-12,2840000,5,4,4,809,1910,-37.775,145.0268
Alphington,3/19 Harker St,u,S,Miles,6.4,3078,2016-11-12,525500,2,1,1,88,1960,-37.7791,145.0306
Alphington,4/2 Miller St,t,S,Miles,6.4,3078,2016-11-12,805000,2,2,3,155,2004,-37.7804,145.0308
Alphington,2/5 Yarana Rd,u,S,McGrath,6.4,3078,2016-11-12,465000,2,1,1,,,-37.7773,145.0314
Alphington,815 Heidelberg Rd,h,PI,hockingstuart,6.4,3078,2016-10-15,2000000,3,3,2,686,,-37.78,145.0341
Alphington,44 Naroon Rd,h,S,Nelson,6.4,3078,2016-04-16,1540000,3,1,2,592,,-37.7755,145.0288
Alphington,3/98 Grange Rd,u,S,Nelson,6.4,3078,2017-03-18,820000,2,1,1,183,,-37.7747,145.0264
Alphington,10 Bennett St,h,S,Nelson,6.4,3078,2016-11-19,1830000,4,2,2,606,1970,-37.7743,145.0316
Alphington,38 Bennett St,h,S,Nelson,6.4,3078,2016-11-19,2100000,4,2,2,575,2008,-37.7723,145.0319
Alphington,2c Hamilton St,h,SP,hockingstuart,6.4,3078,2016-05-22,865000,3,1,1,180,2010,-37.7802,145.0243
Alphington,5/5 Yarana Rd,u,VB,Nelson,6.4,3078,2016-05-22,390000,2,1,1,,1960,-37.7773,145.0314
Alphington,7/7 Chandler Hwy,t,SP,Brace,6.4,3078,2016-09-24,650000,2,1,0,,,-37.7848,145.025
Alphington,1/14 Fulham Rd,u,S,Love,6.4,3078,2017-02-25,512000,2,1,1,,1965,-37.7805,145.0262
Alphington,22 Lowther St,h,S,Barry,6.4,3078,2016-06-27,1165000,3,1,2,979,,-37.7792,145.029
Alphington,11 Margaret Gr,h,SP,McGrath,6.4,3078,2016-11-27,1900000,4,2,2,556,1930,-37.7844,145.0225
Alphington,6 Naroon Rd,h,SP,McGrath,6.4,3078,2016-08-28,1485000,3,0,0,597,,-37.7781,145.0284
Alphington,42 Shiers St,h,S,Jellis,6.4,3078,2016-07-30,1950000,4,2,3,589,1920,-37.7719,145.0309
Altona,158 Queen St,h,VB,Greg,13.8,3018,2016-09-03,520000,3,2,1,352,2015,-37.87,144.825
Altona,59 Bracken Gr,h,S,Greg,13.8,3018,2016-12-03,1525000,5,3,3,729,2005,-37.8721,144.8105
Altona,1/123 Blyth St,t,S,hockingstuart,13.8,3018,2016-02-04,720000,2,1,2,292,2013,-37.8687,144.8197
Altona,4 Blyth St,h,S,Barlow,13.8,3018,2017-03-04,1120000,3,1,2,506,1930,-37.8693,144.8375
Altona,20 Linnet St,h,PI,Sweeney,13.8,3018,2016-06-04,780000,4,1,4,655,,-37.868,144.8154
Altona,29 Rose St,h,SP,Greg,13.8,3018,2016-06-04,1780000,4,3,6,1057,1962,-37.8681,144.819
Altona,1/170 Blyth St,u,S,Barlow,13.8,3018,2016-08-06,630000,3,1,2,311,1955,-37.8702,144.8143
Altona,5/35 Grieve Pde,u,SP,hockingstuart,13.8,3018,2016-08-06,406000,2,1,1,65,,-37.8693,144.8171
Altona,156 Maidstone St,h,VB,Greg,13.8,3018,2016-05-07,660000,3,1,1,602,1955,-37.8616,144.8116
Altona,11 Keeshan Ct,h,S,Greg,13.8,3018,2016-11-07,683500,3,1,1,530,,-37.8594,144.817
Altona,1/136 Queen St,u,S,Barlow,13.8,3018,2016-10-08,580000,2,1,1,225,1988,-37.8696,144.827
Altona,173 Queen St,h,S,hockingstuart,13.8,3018,2016-10-08,1335000,3,1,4,777,1953,-37.8697,144.8249
Altona,1/265 Queen St,t,SP,hockingstuart,13.8,3018,2016-10-08,800000,3,2,2,280,1997,-37.8734,144.8143
Altona,3/26 Grieve Pde,u,S,Village,13.8,3018,2016-09-10,510000,2,1,1,127,1990,-37.8686,144.8182
Altona,261 Queen St,h,S,Barlow,13.8,3018,2016-09-10,1070000,4,2,2,695,,-37.8733,144.8147
Altona,4/5 Rose St,u,S,hockingstuart,13.8,3018,2016-09-10,425000,2,1,2,115,1980,-37.871,144.8185
Altona,1/60 David St,u,S,Jas,13.8,3018,2016-12-10,605000,3,2,2,230,,-37.8646,144.827
Altona,1A Merritt Ct,t,S,hockingstuart,13.8,3018,2017-02-11,705000,3,2,2,197,,-37.8579,144.8181
Altona,4/31 Millers Rd,u,SP,Greg,13.8,3018,2017-02-11,391000,2,1,1,,1965,-37.8678,144.8384
Altona,111/112 Pier St,u,SP,hockingstuart,13.8,3018,2017-02-11,440000,2,1,1,,,-37.8659,144.83100000000005
Altona,24 Wren St,h,S,hockingstuart,13.8,3018,2017-02-11,845000,4,1,2,745,1950,-37.8658,144.8155
Altona,1/152 Blyth St,t,SP,Gunn&Co,13.8,3018,2016-11-12,743000,3,2,2,211,,-37.8698,144.816
Altona,4/57 Blyth St,u,SP,Barlow,13.8,3018,2016-08-13,730000,3,2,1,69,2014,-37.868,144.8286
Altona,164 Maidstone St,h,S,Sweeney,13.8,3018,2016-05-14,635000,3,1,4,625,1960,-37.8611,144.8114
Altona,3/25 Rayner St,u,SP,hockingstuart,13.8,3018,2016-05-14,620000,2,1,1,168,,-37.8676,144.8202
Altona,3/46 Sargood St,u,S,Burnham,13.8,3018,2016-10-15,447000,2,1,1,137,1990,-37.8655,144.8299
Altona,1/57 Blyth St,u,SP,Barlow,13.8,3018,2016-04-16,730000,3,2,1,70,,-37.868,144.8287
Altona,22 Fenfield St,h,S,hockingstuart,13.8,3018,2016-04-16,678000,3,1,2,606,1950,-37.8608,144.8124
Altona,5/8 David St,u,PI,Biggin,13.8,3018,2016-07-16,580000,2,2,1,175,2013,-37.8687,144.8268
Altona,1/28 Seves St,h,S,hockingstuart,13.8,3018,2016-09-17,712000,3,1,2,363,,-37.8674,144.8375
Altona,27 McIntyre Dr,h,SP,Greg,13.8,3018,2017-03-18,840000,3,2,2,534,1965,-37.86,144.8245
Altona,4 Boyd St,h,S,Barlow,13.8,3018,2016-11-19,980000,3,1,2,724,,-37.8672,144.817
Altona,12 Spear Ct,t,S,hockingstuart,13.8,3018,2016-05-22,605100,3,2,0,265,,-37.8583,144.8172
Altona,185 Queen St,h,PI,Barlow,13.8,3018,2016-08-22,880000,3,3,1,577,,-37.8699,144.8235
Altona,3/20 Mulga St,u,S,Williams,13.8,3018,2016-04-23,577000,3,2,1,205,2007,-37.8684,144.815
Altona,51 Millers Rd,h,S,Barlow,13.8,3018,2017-02-25,1030000,4,1,0,797,,-37.8663,144.8387
Altona,2/119 Railway St N,u,S,Barlow,13.8,3018,2017-02-25,605000,3,1,2,181,,-37.8659,144.822
Altona,24 McIntyre Dr,h,S,Barlow,13.8,3018,2016-06-27,753000,3,2,2,529,,-37.8612,144.8247
Altona,104 Maidstone St,h,SP,hockingstuart,13.8,3018,2016-11-27,857000,2,2,1,675,1950,-37.8653,144.8129
Altona,49 Bent St,h,S,Barlow,13.8,3018,2016-05-28,1500000,3,1,1,929,,-37.8651,144.832
Altona,5/57 Blyth St,u,SP,Barlow,13.8,3018,2016-05-28,730000,3,2,1,70,2014,-37.868,144.8285
Altona,15 Kookaburra St,h,S,Sweeney,13.8,3018,2016-05-28,900000,3,1,4,697,,-37.871,144.8075
Altona,219 Civic Pde,h,S,Greg,13.8,3018,2016-08-28,740000,3,1,2,604,,-37.8631,144.8195
Altona,3 Curtin Ct,h,S,Sweeney,13.8,3018,2016-08-28,931000,4,2,3,532,1970,-37.8637,144.8365
Altona,2/60 David St,h,SP,Compton,13.8,3018,2016-07-30,535600,2,1,1,154,1996,-37.8646,144.8272
Altona North,45 Hearn St,h,S,FN,11.1,3025,2016-09-03,1085000,5,3,6,592,1965,-37.8388,144.8567
Altona North,4 Knapp St,h,S,Jas,11.1,3025,2016-09-03,781000,3,1,2,533,1970,-37.8291,144.835
Altona North,21 Hatherley Gr,h,SP,Jas,11.1,3025,2017-03-04,750000,3,1,3,554,,-37.8449,144.85
Altona North,3/66 Marion St,t,S,hockingstuart,11.1,3025,2017-03-04,421000,2,1,1,77,2009,-37.8351,144.8529
Altona North,153 Mills St,h,S,Sweeney,11.1,3025,2017-03-04,1405000,3,1,3,655,,-37.8338,144.8562
Altona North,33 Carthy St,h,S,FN,11.1,3025,2016-06-04,683000,3,1,2,534,1967,-37.8284,144.8355
Altona North,16 Harris St,h,S,Sweeney,11.1,3025,2016-06-04,623000,3,1,3,540,,-37.8267,144.8368
Altona North,1/5 Little St,h,VB,Greg,11.1,3025,2016-08-06,720000,3,2,1,,2012,-37.8379,144.8583
Altona North,1/95 Mills St,h,S,Williams,11.1,3025,2016-05-07,588000,3,1,1,328,1970,-37.838,144.8555
Altona North,5 Binns St,h,PI,Village,11.1,3025,2016-11-07,710000,3,1,3,540,1960,-37.8294,144.8378
Altona North,25 Allan St,h,SP,Jas,11.1,3025,2016-10-08,875000,4,1,4,559,1965,-37.8448,144.8529
Altona North,21 Hatherley Gr,h,VB,Jas,11.1,3025,2016-12-10,700000,3,1,3,554,,-37.8449,144.85
Altona North,1/256 Mason St,t,S,Williams,11.1,3025,2017-03-11,640000,2,1,1,252,1965,-37.8397,144.8602
Altona North,21 Allan St,h,SP,Williams,11.1,3025,2016-06-12,650000,4,1,4,558,,-37.8451,144.8529
Altona North,2/36 May St,h,S,hockingstuart,11.1,3025,2016-05-14,675000,3,2,2,171,2012,-37.8337,144.8554
Altona North,11 Beevers St,h,S,Greg,11.1,3025,2016-10-15,708000,3,1,2,585,1960,-37.8258,144.8523
Altona North,10 Murphy St,h,SP,Gunn&Co,11.1,3025,2016-10-15,965000,4,1,4,851,,-37.8345,144.8444
Altona North,16 Beevers St,h,S,Sweeney,11.1,3025,2016-11-19,680000,3,1,3,551,,-37.8254,144.8514
Altona North,21 Neal Ct,h,SP,hockingstuart,11.1,3025,2016-11-19,770000,3,1,3,602,,-37.8327,144.8451
Altona North,31 Duosa Rd,h,S,Greg,11.1,3025,2016-05-22,923000,3,1,2,740,,-37.8269,144.8455
Altona North,252 Millers Rd,h,SP,Raine&Horne,11.1,3025,2016-05-22,693000,4,2,4,315,2008,-37.8391,144.8467
Altona North,1/156 Chambers Rd,h,SP,Hunter,11.1,3025,2016-08-22,620000,3,2,2,276,2010,-37.8262,144.8443
Altona North,2 Gadsden St,h,S,Jas,11.1,3025,2016-08-22,728500,3,1,1,531,1960,-37.8277,144.8385
Altona North,24 Hansen St,h,S,hockingstuart,11.1,3025,2016-08-22,931000,3,2,1,590,1950,-37.8382,144.8649
Altona North,4 Prismall St,h,S,Sweeney,11.1,3025,2016-08-22,988000,3,1,4,715,2008,-37.8423,144.8632
Altona North,122 McIntosh Rd,h,S,Village,11.1,3025,2016-04-23,590000,3,1,2,561,,-37.8444,144.8491
Altona North,35 May St,h,S,RT,11.1,3025,2016-09-24,610000,2,1,2,691,,-37.834,144.8553
Altona North,6 Hill St,h,S,hockingstuart,11.1,3025,2017-02-25,815000,3,2,3,555,1960,-37.8318,144.8388
Altona North,84 May St,h,S,Greg,11.1,3025,2017-02-25,970000,4,1,2,708,,-37.833,144.8494
Altona North,155 Chambers Rd,h,S,Hunter,11.1,3025,2016-06-27,760000,4,1,3,668,,-37.8262,144.8439
Altona North,268d Mason St,t,S,RT,11.1,3025,2016-06-27,847500,4,3,1,252,,-37.8393,144.8568
Altona North,5 Cresser St,h,SP,RT,11.1,3025,2016-11-27,1200000,4,1,4,633,1960,-37.8375,144.8541
Altona North,107 McIntosh Rd,h,SP,Hunter,11.1,3025,2016-11-27,700000,3,1,1,557,,-37.8441,144.8505
Altona North,10 Knapp St,h,PI,Hunter,11.1,3025,2016-05-28,625000,3,1,1,536,,-37.8285,144.8351
Altona North,4/221 Blackshaws Rd,u,S,Jas,11.1,3025,2016-08-28,292000,2,1,1,153,1970,-37.8332,144.8649
Armadale,8/19 Mercer Rd,u,S,Jellis,6.3,3143,2016-09-03,599000,2,1,1,,1964,-37.8543,145.0262
Armadale,1/42 Adelaide St,u,VB,Noel,6.3,3143,2016-12-03,550000,2,1,0,861,,-37.8539,145.0284
Armadale,14/71 Denbigh Rd,u,S,Marshall,6.3,3143,2016-12-03,995000,3,2,2,,1998,-37.8552,145.016
